epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
101,16193.8,0.75923,0.65603,1.00003,0.83526,0.91186,0.91313,0.75921,0.59361,0.47825,0.89217,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,16359.8,0.75479,0.65352,1.00187,0.87326,0.86989,0.9202,0.75398,0.64895,0.48079,0.90934,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,16520.1,0.75343,0.66577,1.00789,0.86242,0.89381,0.90782,0.7487,0.62626,0.47741,0.89811,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,16691,0.75419,0.66156,1.00342,0.83823,0.90363,0.90813,0.75453,0.63179,0.47534,0.90157,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,16867,0.74596,0.65604,1.0056,0.85202,0.89079,0.91364,0.76696,0.58563,0.4733,0.8962,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,17055,0.749,0.65454,0.99967,0.85648,0.90361,0.90472,0.74793,0.62823,0.48219,0.90393,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,17252.2,0.73967,0.65911,0.99531,0.8453,0.91587,0.91451,0.75257,0.63323,0.47692,0.9022,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,17442.9,0.751,0.66317,1.0018,0.83894,0.91562,0.91449,0.75805,0.60642,0.49313,0.89529,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,17632,0.7509,0.65301,1.00319,0.84943,0.87915,0.90186,0.73873,0.62917,0.48621,0.90347,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,17819,0.73842,0.64529,1.00013,0.84886,0.90747,0.91386,0.77412,0.55851,0.46435,0.88432,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,17993.6,0.73524,0.65206,0.98751,0.8875,0.89142,0.92128,0.76542,0.60371,0.46329,0.89282,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,18181.1,0.73709,0.6421,0.99796,0.85148,0.89845,0.90742,0.75237,0.6072,0.4585,0.89148,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,18371.9,0.74925,0.6424,1.00048,0.86608,0.89793,0.92227,0.77701,0.57952,0.44633,0.88664,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,18559.8,0.73929,0.6485,0.99794,0.85383,0.88416,0.91038,0.75352,0.60136,0.47502,0.89048,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,18751.4,0.74282,0.65995,0.99846,0.81181,0.93335,0.90408,0.74756,0.60816,0.46801,0.89324,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,18940.5,0.74624,0.65361,1.00295,0.86593,0.87182,0.90817,0.75879,0.57931,0.46546,0.88159,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,19145.2,0.7334,0.63884,0.99173,0.84093,0.89742,0.90122,0.73753,0.63127,0.48479,0.89747,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,19339.2,0.74389,0.63446,1.00481,0.82928,0.91185,0.91148,0.77069,0.56288,0.46155,0.88159,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,19529.9,0.73462,0.64811,0.99409,0.8278,0.91612,0.90465,0.75295,0.60683,0.47736,0.89564,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,19720.8,0.72646,0.62944,0.99244,0.85824,0.88027,0.90262,0.75247,0.58372,0.47473,0.88613,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,19914.8,0.739,0.64121,0.99306,0.84737,0.89444,0.90607,0.77253,0.57201,0.47018,0.88571,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
