epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
104,16946.4,0.75977,0.66356,1.0055,0.84735,0.9047,0.91708,0.76483,0.58616,0.47382,0.88031,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,17122.8,0.74552,0.65439,1.00313,0.8535,0.85818,0.89188,0.74675,0.56891,0.47362,0.88279,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,17296.9,0.75717,0.65209,1.00127,0.83992,0.91128,0.91215,0.75483,0.60643,0.4725,0.88993,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,17476.4,0.74357,0.65578,0.99262,0.85895,0.88413,0.91566,0.76576,0.57468,0.45632,0.88048,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,17649,0.75461,0.66435,0.99778,0.87314,0.86602,0.915,0.7697,0.56751,0.46102,0.88006,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,17823.7,0.75066,0.65472,0.99795,0.84913,0.88588,0.89245,0.74027,0.62603,0.49104,0.89407,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,18008.6,0.74235,0.65116,0.99635,0.84169,0.91455,0.90439,0.76621,0.57091,0.45946,0.88341,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,18196.2,0.73824,0.65712,0.98946,0.83347,0.90487,0.9106,0.76602,0.58331,0.4614,0.88102,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,18385.2,0.73742,0.63433,0.99507,0.82417,0.9196,0.90896,0.75407,0.61138,0.46671,0.88632,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,18572.3,0.75317,0.64204,0.99556,0.80852,0.94091,0.9151,0.76617,0.57568,0.45438,0.88407,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
